row_id,team1_name,team2_name,Prediction,PredictedLabel,Explanation 1 Strength,Explanation 1 Feature,Explanation 1 Value,Explanation 2 Strength,Explanation 2 Feature,Explanation 2 Value,Explanation 3 Strength,Explanation 3 Feature,Explanation 3 Value,Explanation 4 Strength,Explanation 4 Feature,Explanation 4 Value,Explanation 5 Strength,Explanation 5 Feature,Explanation 5 Value,Explanation 6 Strength,Explanation 6 Feature,Explanation 6 Value,Explanation 7 Strength,Explanation 7 Feature,Explanation 7 Value,Explanation 8 Strength,Explanation 8 Feature,Explanation 8 Value,Explanation 9 Strength,Explanation 9 Feature,Explanation 9 Value,Explanation 10 Strength,Explanation 10 Feature,Explanation 10 Value
10,Akron,UConn,0.2844148576259613,0,---,team2[team_AP_rank] (6 weeks avg),'20.92308',+++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[team_margin] (6 weeks avg),'2.230769',--,team1[three_point_pct] (6 weeks avg),'38.04286',--,team2[opponent_score] (6 weeks median),'65.0',++,team2[three_point_pct] (6 weeks avg),'35.11538',++,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',++,team1[win] (6 weeks avg),'0.7272727',--,team2[blocks] (6 weeks avg),'5.846154',--,team2[team_conf] (6 weeks latest),'AAC'
11,Akron,Creighton,0.44282346963882446,0,++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[defensive_rebounds] (6 weeks avg),'28.85714',--,team2[team_conf] (6 weeks latest),'Big East',--,team2[team_margin] (6 weeks avg),'2.571429',--,team1_location,'N',--,team2[opponent_AP_rank] (6 weeks avg),'13.0',--,team1[three_point_pct] (6 weeks avg),'38.04286',++,team1[win] (6 weeks avg),'0.7272727',--,team2[opponent_score] (6 weeks median),'64.0',--,team1[assists] (6 weeks avg),'11.14286'
12,Akron,CSU Fullerton,0.4564174711704254,0,++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[team_conf] (6 weeks latest),'Big West',--,team2[team_margin] (6 weeks avg),'3.307692',--,team1[three_point_pct] (6 weeks avg),'38.04286',--,team1_location,'N',--,team2[steals] (6 weeks avg),'7.923077',--,team2[opponent_score] (6 weeks median),'64.0',++,team1[win] (6 weeks avg),'0.7272727',++,team2[three_point_pct] (6 weeks avg),'35.61538',--,team2[opponent_score] (6 weeks min),'46.0'
13,Akron,Davidson,0.4327750504016876,0,---,team2[team_margin] (6 weeks avg),'9.384615',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1[three_point_pct] (6 weeks avg),'38.04286',++,team2[team_conf] (6 weeks latest),'A-10',--,team2[opponent_score] (6 weeks median),'64.0',--,team2[turnovers] (6 weeks avg),'8.769231',++,team2[defensive_rebounds] (6 weeks avg),'26.76923',++,team1[win] (6 weeks avg),'0.7272727',--,team1[opponent_score] (6 weeks kurtosis),'1.436333',++,team1[team_score] (6 weeks avg),'70.14286'
14,Akron,Delaware,0.5597578883171082,1,+++,team1[team_margin] (6 weeks avg),'6.272727',+++,team2[team_conf] (6 weeks latest),'CAA',--,team2[team_margin] (6 weeks avg),'2.5',++,team2[three_point_pct] (6 weeks avg),'33.11667',++,team1[win] (6 weeks avg),'0.7272727',--,team1[three_point_pct] (6 weeks avg),'38.04286',+,team1[turnovers] (6 weeks avg),'11.5',+,team1_location,'N',+,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',-,team2[steals] (6 weeks avg),'6.9166669999999995'
15,Akron,Duke,0.0811687558889389,0,--,team2[team_conf] (6 weeks latest),'ACC',--,team2[team_AP_rank] (6 weeks avg),'7.142857000000001',--,team2[team_margin] (6 weeks avg),'9.0',++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[opponent_id] (6 weeks skewness),'3.258025',--,team2[blocks] (6 weeks avg),'5.5',--,team1[team_conf] (6 weeks latest),'MAC',--,team1[three_point_pct] (6 weeks avg),'38.04286',+,team2[three_point_pct] (6 weeks avg),'35.885709999999996',-,team1[opponent_id] (6 weeks skewness),'-0.8297876000000001'
16,Akron,Georgia State,0.3994252681732178,0,--,team2[team_margin] (6 weeks avg),'7.636364',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[team_conf] (6 weeks latest),'Sunbelt',--,team2[opponent_score] (6 weeks median),'62.0',--,team1[three_point_pct] (6 weeks avg),'38.04286',--,team1_location,'N',++,team1[win] (6 weeks avg),'0.7272727',++,team2[three_point_pct] (6 weeks avg),'33.45455',--,team2[steals] (6 weeks avg),'8.181818',++,team1[team_score] (6 weeks avg),'70.14286'
17,Akron,Gonzaga,0.1268816441297531,0,---,team2[team_margin] (6 weeks avg),'17.8',---,team2[team_AP_rank] (6 weeks avg),'1.4',--,team2[field_goals_made] (6 weeks avg),'31.4',--,team2[team_score] (6 weeks avg),'82.1',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1[three_point_pct] (6 weeks avg),'38.04286',--,team2[blocks] (6 weeks avg),'6.0',--,team1_location,'N',+,team2[defensive_rebounds] (6 weeks avg),'32.6',-,team2[free_throw_pct] (6 weeks avg),'78.95'
18,Akron,Houston,0.15795442461967468,0,---,team2[team_margin] (6 weeks avg),'11.57143',---,team2[team_AP_rank] (6 weeks avg),'12.57143',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1[three_point_pct] (6 weeks avg),'38.04286',--,team2[opponent_score] (6 weeks median),'61.5',--,team2[assists] (6 weeks avg),'18.21429',-,team2[blocks] (6 weeks avg),'5.071429',+,team1[win] (6 weeks avg),'0.7272727',+,team2[defensive_rebounds] (6 weeks avg),'26.21429',-,team1[team_conf] (6 weeks latest),'MAC'
19,Akron,Illinois,0.25272753834724426,0,---,team2[team_conf] (6 weeks latest),'Big 10',--,team2[team_AP_rank] (6 weeks avg),'15.27273',++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[team_margin] (6 weeks avg),'2.272727',++,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',--,team1_location,'N',--,team1[team_conf] (6 weeks latest),'MAC',--,team1[assists] (6 weeks avg),'11.14286',+,team1[win] (6 weeks avg),'0.7272727',+,team2[three_point_pct] (6 weeks avg),'37.09091'
20,Akron,Indiana,0.4603973925113678,0,---,team2[team_conf] (6 weeks latest),'Big 10',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1_location,'N',--,team1[team_conf] (6 weeks latest),'MAC',++,team2[team_margin] (6 weeks avg),'-3.5',++,team2[three_point_pct] (6 weeks avg),'31.71667',++,team1[win] (6 weeks avg),'0.7272727',--,team2[opponent_AP_rank] (6 weeks avg),'17.14286',+,team2[opponent_score] (6 weeks median),'71.5',+,team2[offensive_rebounds] (6 weeks avg),'8.5'
21,Akron,Iowa,0.10777679830789566,0,---,team2[team_margin] (6 weeks avg),'12.4',--,team2[team_conf] (6 weeks latest),'Big 10',--,team2[team_AP_rank] (6 weeks avg),'24.22222',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[three_point_pct] (6 weeks avg),'40.24',--,team2[team_score] (6 weeks avg),'85.33333',--,team2[team_score] (6 weeks max),'112.0',--,team2[assists] (6 weeks avg),'16.0',+,team1[turnovers] (6 weeks avg),'11.5',-,team2[opponent_id] (6 weeks skewness),'3.4014550000000003'
22,Akron,Iowa State,0.35317039489746094,0,---,team2[team_conf] (6 weeks latest),'Big 12',--,team1_location,'N',--,team2[team_AP_rank] (6 weeks avg),'20.0',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[team_margin] (6 weeks avg),'-7.272727000000001',--,team1[team_conf] (6 weeks latest),'MAC',++,team1[win] (6 weeks avg),'0.7272727',++,team2[team_score] (6 weeks avg),'60.54545',+,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',+,team2[opponent_score] (6 weeks median),'72.0'
23,Akron,Jacksonville State,0.6279405951499939,1,+++,team1[team_margin] (6 weeks avg),'6.272727',+++,team2[team_conf] (6 weeks latest),'OVC',--,team2[team_margin] (6 weeks avg),'3.222222',++,team2[three_point_pct] (6 weeks avg),'31.96',++,team2[defensive_rebounds] (6 weeks avg),'26.7',++,team1[win] (6 weeks avg),'0.7272727',++,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',++,team2[opponent_AP_rank] (6 weeks avg),MISSING,-,team1[assists] (6 weeks avg),'11.14286',+,team1[turnovers] (6 weeks avg),'11.5'
24,Akron,Kansas,0.11981247365474701,0,---,team2[team_AP_rank] (6 weeks avg),'6.714286',--,team2[team_conf] (6 weeks latest),'Big 12',--,team2[team_margin] (6 weeks avg),'8.214286',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1_location,'N',--,team1[assists] (6 weeks avg),'11.14286',--,team1[team_conf] (6 weeks latest),'MAC',+,team2[team_score] (6 weeks max),'102.0',-,team2[opponent_score] (6 weeks median),'64.0',-,team2[win] (6 weeks avg),'0.7857143'
25,Akron,Kentucky,0.13719652593135834,0,---,team2[team_AP_rank] (6 weeks avg),'5.3333330000000005',--,team2[team_conf] (6 weeks latest),'SEC',--,team2[team_margin] (6 weeks avg),'5.5',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1_location,'N',--,team1[team_conf] (6 weeks latest),'MAC',+,team2[three_point_pct] (6 weeks avg),'35.41667',-,team2[win] (6 weeks avg),'0.75',+,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',-,team2[field_goals_made] (6 weeks avg),'27.75'
26,Akron,Longwood,0.5861502289772034,1,+++,team2[team_conf] (6 weeks latest),'Big South',++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[team_margin] (6 weeks avg),'6.2',++,team1[team_conf] (6 weeks latest),'MAC',++,team2[three_point_pct] (6 weeks avg),'41.6',--,team1[three_point_pct] (6 weeks avg),'38.04286',+,team1[win] (6 weeks avg),'0.7272727',+,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',+,team1[turnovers] (6 weeks avg),'11.5',-,team2[defensive_rebounds] (6 weeks avg),'23.83333'
27,Akron,Loyola Chicago,0.27227723598480225,0,---,team2[team_margin] (6 weeks avg),'11.41667',--,team2[opponent_score] (6 weeks min),'31.0',++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[steals] (6 weeks avg),'8.166667',--,team2[opponent_score] (6 weeks median),'60.0',++,team2[team_conf] (6 weeks latest),'MVC',--,team1[three_point_pct] (6 weeks avg),'38.04286',-,team2[win] (6 weeks avg),'0.75',-,team1[opponent_score] (6 weeks kurtosis),'1.436333',+,team1[win] (6 weeks avg),'0.7272727'
28,Akron,LSU,0.17345190048217773,0,---,team2[team_conf] (6 weeks latest),'SEC',++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[team_AP_rank] (6 weeks avg),'25.0',--,team1_location,'N',--,team1[team_conf] (6 weeks latest),'MAC',--,team2[team_margin] (6 weeks avg),'2.416667',--,team2[defensive_rebounds] (6 weeks avg),'20.83333',--,team2[free_throw_pct] (6 weeks avg),'75.28333',-,team2[opponent_AP_rank] (6 weeks avg),'15.0',-,team2[free_throw_pct] (6 weeks min),'59.1'
29,Akron,Marquette,0.35993334650993347,0,++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[team_AP_rank] (6 weeks avg),'20.0',--,team2[team_conf] (6 weeks latest),'Big East',--,team1_location,'N',++,team2[opponent_score] (6 weeks median),'77.0',++,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',++,team2[three_point_pct] (6 weeks avg),'34.14444',++,team1[win] (6 weeks avg),'0.7272727',+,team1[turnovers] (6 weeks avg),'11.5',-,team1[assists] (6 weeks avg),'11.14286'
30,Akron,Memphis,0.22313156723976135,0,---,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1[three_point_pct] (6 weeks avg),'38.04286',--,team2[assists] (6 weeks avg),'16.75',--,team1[assists] (6 weeks avg),'11.14286',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',--,team2[blocks] (6 weeks avg),'5.25',++,team1[win] (6 weeks avg),'0.7272727',--,team2[team_score] (6 weeks avg),'74.16667',--,team2[free_throw_pct] (6 weeks avg),'72.11667'
31,Akron,Miami,0.24799466133117676,0,---,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1_location,'N',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',--,team2[team_margin] (6 weeks avg),'2.666667',--,team2[free_throw_pct] (6 weeks avg),'65.625',++,team2[three_point_pct] (6 weeks avg),'33.075',--,team1[team_conf] (6 weeks latest),'MAC',--,team2[team_score] (6 weeks avg),'73.0',--,team2[field_goals_made] (6 weeks avg),'28.91667'
32,Akron,Michigan,0.3355935215950012,0,---,team2[team_conf] (6 weeks latest),'Big 10',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[opponent_score] (6 weeks median),'74.0',--,team2[opponent_AP_rank] (6 weeks avg),'14.28571',--,team1[team_conf] (6 weeks latest),'MAC',--,team1_location,'N',--,team2[team_margin] (6 weeks avg),'1.0',++,team1[win] (6 weeks avg),'0.7272727',--,team2[defensive_rebounds] (6 weeks avg),'23.92308',+,team2[three_point_pct] (6 weeks avg),'32.8'
33,Akron,Michigan State,0.3362029194831848,0,---,team2[team_conf] (6 weeks latest),'Big 10',--,team2[team_AP_rank] (6 weeks avg),'16.33333',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1_location,'N',--,team1[team_conf] (6 weeks latest),'MAC',++,team2[team_margin] (6 weeks avg),'-4.071429',++,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',+,team2[three_point_pct] (6 weeks avg),'34.92143',+,team2[offensive_rebounds] (6 weeks avg),'9.142857000000001',+,team1[win] (6 weeks avg),'0.7272727'
34,Akron,Montana State,0.42569103837013245,0,---,team2[team_margin] (6 weeks avg),'9.416667',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[team_conf] (6 weeks latest),'Big Sky',--,team1[three_point_pct] (6 weeks avg),'38.04286',++,team1[win] (6 weeks avg),'0.7272727',++,team2[three_point_pct] (6 weeks avg),'35.48462',--,team2[team_score] (6 weeks avg),'77.30769000000001',--,team2[free_throw_pct] (6 weeks avg),'77.94615',+,team1_location,'N',-,team2[win] (6 weeks avg),'0.9166667'
35,Akron,Murray State,0.28344765305519104,0,---,team2[team_margin] (6 weeks avg),'13.7',--,team2[team_AP_rank] (6 weeks avg),'21.25',++,team2[team_conf] (6 weeks latest),'OVC',++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[opponent_score] (6 weeks median),'59.5',++,team1[turnovers] (6 weeks avg),'11.5',+,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',+,team1[team_conf] (6 weeks latest),'MAC',-,team2[win] (6 weeks avg),'1.0',-,team1[three_point_pct] (6 weeks avg),'38.04286'
36,Akron,New Mexico State,0.5314630270004272,1,+++,team2[team_conf] (6 weeks latest),'WAC',--,team2[team_margin] (6 weeks avg),'9.363636',++,team1[team_margin] (6 weeks avg),'6.272727',++,team1[team_conf] (6 weeks latest),'MAC',--,team1[three_point_pct] (6 weeks avg),'38.04286',--,team2[opponent_score] (6 weeks median),'64.0',+,team1[win] (6 weeks avg),'0.7272727',-,team2[offensive_rebounds] (6 weeks avg),'11.75',+,team2[three_point_pct] (6 weeks avg),'31.975',+,team2[defensive_rebounds] (6 weeks avg),'26.91667'
37,Akron,Norfolk State,0.6301243901252747,1,+++,team2[team_conf] (6 weeks latest),'MEAC',++,team1[team_conf] (6 weeks latest),'MAC',--,team2[team_margin] (6 weeks avg),'10.272730000000001',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1[three_point_pct] (6 weeks avg),'38.04286',+,team2[three_point_pct] (6 weeks avg),'34.2',-,team2[opponent_score] (6 weeks median),'63.0',+,team1[win] (6 weeks avg),'0.7272727',+,team1[turnovers] (6 weeks avg),'11.5',-,team1[opponent_score] (6 weeks min),'55.0'
38,Akron,North Carolina,0.19379588961601257,0,---,team2[team_conf] (6 weeks latest),'ACC',--,team2[team_margin] (6 weeks avg),'4.5',--,team2[team_AP_rank] (6 weeks avg),'25.0',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[opponent_score] (6 weeks median),'75.0',--,team1[team_conf] (6 weeks latest),'MAC',--,team2[opponent_score] (6 weeks min),'43.0',++,team1[win] (6 weeks avg),'0.7272727',-,team1_location,'N',-,team1[three_point_pct] (6 weeks avg),'38.04286'
39,Akron,Notre Dame,0.2471005767583847,0,---,team2[team_conf] (6 weeks latest),'ACC',--,team2[team_margin] (6 weeks avg),'6.5833330000000005',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[three_point_pct] (6 weeks avg),'37.4',--,team2[free_throw_pct] (6 weeks avg),'73.11667',--,team1[assists] (6 weeks avg),'11.14286',++,team2[defensive_rebounds] (6 weeks avg),'28.58333',++,team2[blocks] (6 weeks avg),'1.166667',--,team1[team_conf] (6 weeks latest),'MAC',+,team1[win] (6 weeks avg),'0.7272727'
40,Akron,Ohio State,0.21612253785133362,0,---,team2[team_conf] (6 weeks latest),'Big 10',--,team2[team_AP_rank] (6 weeks avg),'19.90909',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[three_point_pct] (6 weeks avg),'38.35',--,team1[team_conf] (6 weeks latest),'MAC',--,team2[team_margin] (6 weeks avg),'2.416667',--,team1_location,'N',--,team1[opponent_score] (6 weeks kurtosis),'1.436333',++,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',-,team1[three_point_pct] (6 weeks avg),'38.04286'
41,Akron,Providence,0.28641805052757263,0,--,team2[team_AP_rank] (6 weeks avg),'11.0',++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[team_conf] (6 weeks latest),'Big East',--,team2[team_margin] (6 weeks avg),'2.5',--,team1_location,'N',--,team1[assists] (6 weeks avg),'11.14286',++,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',++,team2[opponent_score] (6 weeks median),'74.5',++,team1[win] (6 weeks avg),'0.7272727',++,team2[defensive_rebounds] (6 weeks avg),'26.9'
42,Akron,Purdue,0.1650552898645401,0,---,team2[team_AP_rank] (6 weeks avg),'5.692308000000001',---,team2[team_conf] (6 weeks latest),'Big 10',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[three_point_pct] (6 weeks avg),'33.54615',--,team1[team_conf] (6 weeks latest),'MAC',--,team2[team_margin] (6 weeks avg),'2.461538',--,team2[opponent_id] (6 weeks skewness),'3.082415',++,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',++,team1[win] (6 weeks avg),'0.7272727',-,team1_location,'N'
43,Akron,Richmond,0.5061830878257751,1,+++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[team_margin] (6 weeks avg),'3.5',--,team2[opponent_score] (6 weeks median),'63.5',++,team2[team_conf] (6 weeks latest),'A-10',++,team1[win] (6 weeks avg),'0.7272727',--,team1[three_point_pct] (6 weeks avg),'38.04286',++,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',++,team1[turnovers] (6 weeks avg),'11.5',++,team2[three_point_pct] (6 weeks avg),'34.592859999999995',++,team1[team_score] (6 weeks avg),'70.14286'
44,Akron,Rutgers,0.2895829677581787,0,---,team2[team_conf] (6 weeks latest),'Big 10',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1[team_conf] (6 weeks latest),'MAC',--,team2[free_throw_pct] (6 weeks avg),'71.54545',++,team2[three_point_pct] (6 weeks avg),'34.10909',++,team1[win] (6 weeks avg),'0.7272727',--,team2[team_margin] (6 weeks avg),'0.8181818000000001',++,team1[opponent_score] (6 weeks kurtosis),'1.436333',--,team2[opponent_AP_rank] (6 weeks avg),'13.85714',-,team1_location,'N'
45,Akron,South Dakota State,0.28723761439323425,0,---,team2[team_margin] (6 weeks avg),'14.5',--,team2[team_score] (6 weeks avg),'84.72726999999999',++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[field_goals_made] (6 weeks avg),'30.636359999999996',--,team1[three_point_pct] (6 weeks avg),'38.04286',++,team2[team_conf] (6 weeks latest),'Summit',++,team1[win] (6 weeks avg),'0.7272727',-,team1[assists] (6 weeks avg),'11.14286',-,team2[offensive_rebounds] (6 weeks avg),'7.090909',-,team2[turnovers] (6 weeks avg),'8.909091'
46,Akron,San Diego State,0.32892218232154846,0,++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[team_margin] (6 weeks avg),'7.153846000000001',--,team2[opponent_score] (6 weeks median),'58.0',++,team2[three_point_pct] (6 weeks avg),'40.07333',++,team1[win] (6 weeks avg),'0.7272727',--,team2[defensive_rebounds] (6 weeks avg),'24.4',--,team2[defensive_rebounds] (6 weeks skewness),'0.6182156999999999',++,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',-,team1[three_point_pct] (6 weeks avg),'38.04286',+,team2[offensive_rebounds] (6 weeks avg),'9.733333'
47,Akron,San Francisco,0.4038682281970978,0,---,team2[team_margin] (6 weeks avg),'9.636364',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[free_throw_pct] (6 weeks min),'47.1',--,team1_location,'N',++,team1[team_conf] (6 weeks latest),'MAC',++,team2[three_point_pct] (6 weeks avg),'35.227270000000004',++,team1[win] (6 weeks avg),'0.7272727',--,team1[three_point_pct] (6 weeks avg),'38.04286',--,team2[team_score] (6 weeks avg),'78.09091',--,team2[opponent_AP_rank] (6 weeks avg),'1.0'
